# ============================================================
# LOGS DE TRANSACOES FINANCEIRAS
# Periodo: 01/04/2026 a 25/05/2026
# Total de registros: 500
# Formato por linha:
# [AAAA-MM-DD HH:MM:SS] ID:<id> | TIPO:<tipo> | ORIGEM_NOME:<nome> | ORIGEM_DOC:<cpf_ou_cnpj> | DESTINO_NOME:<nome> | DESTINO_DOC:<cpf_ou_cnpj> | VALOR:R$ <valor> | BANCO_ORIGEM:<codigo> | BANCO_DESTINO:<codigo> | DISPOSITIVO:<dispositivo> | LOCALIZACAO:<cidade-UF> | DESCRICAO:<texto> | STATUS:<CONCLUIDA|FALHA>
# Observacao: campos podem aparecer vazios em alguns registros.
# ============================================================
[2026-04-01 02:32:39] ID:TRX00486 | TIPO:CARTAO_CREDITO_DIGITAL_MASTER | ORIGEM_NOME:Servicos GAMA SA | ORIGEM_DOC:86.826.866/0001-15 | DESTINO_NOME:MARKETPLACE OFFSHORE | DESTINO_DOC:95.479.235/0001-81 | VALOR:R$ 8.853,91 | BANCO_ORIGEM:001 | BANCO_DESTINO:380 | DISPOSITIVO:POS_DIGITAL | LOCALIZACAO:Curitiba-PR | DESCRICAO:Compra online | STATUS:CONCLUIDA
[2026-04-01 08:59:03] ID:TRX00180 | TIPO:CARTAO_CREDITO_FISICO_VISA | ORIGEM_NOME:Sabrina Andrade | ORIGEM_DOC:818.511.184-91 | DESTINO_NOME:Carlos Pereira | DESTINO_DOC:649.650.730-29 | VALOR:R$ 1.273,93 | BANCO_ORIGEM:077 | BANCO_DESTINO:212 | DISPOSITIVO:POS_DIGITAL | LOCALIZACAO:Sao Luis-MA | DESCRICAO:Compra online | STATUS:CONCLUIDA
[2026-04-01 16:18:12] ID:TRX00279 | TIPO:PIX | ORIGEM_NOME:Vanessa Marques | ORIGEM_DOC:273.790.136-56 | DESTINO_NOME:Andre Lopes | DESTINO_DOC:344.770.100-30 | VALOR:R$ 1.963,14 | BANCO_ORIGEM:341 | BANCO_DESTINO:341 | DISPOSITIVO:AGENCIA_FISICA | LOCALIZACAO:Manaus-AM | DESCRICAO:Reembolso | STATUS:CONCLUIDA
[2026-04-01 17:12:51] ID:TRX00199 | TIPO:DOC | ORIGEM_NOME:Priscila Monteiro | ORIGEM_DOC:700.821.245-24 | DESTINO_NOME:Gustavo Freitas | DESTINO_DOC:966.638.981-56 | VALOR:R$ 861,79 | BANCO_ORIGEM:104 | BANCO_DESTINO:290 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Sao Paulo-SP | DESCRICAO:Compra supermercado | STATUS:CONCLUIDA
[2026-04-02 02:16:15] ID:TRX00484 | TIPO:CARTAO_CREDITO_DIGITAL_MASTER | ORIGEM_NOME:Marcelo Vieira | ORIGEM_DOC:284.518.911-28 | DESTINO_NOME:ECOMMERCE GLOBAL | DESTINO_DOC:97.762.569/0001-20 | VALOR:R$ 4.902,65 | BANCO_ORIGEM:001 | BANCO_DESTINO:336 | DISPOSITIVO:POS_DIGITAL | LOCALIZACAO:Brasilia-DF | DESCRICAO:Compra online | STATUS:CONCLUIDA
[2026-04-02 11:14:08] ID:TRX00001 | TIPO:TED | ORIGEM_NOME:Empresa ALFA LTDA | ORIGEM_DOC:13.195.323/0001-39 | DESTINO_NOME:Juliana Almeida | DESTINO_DOC:617.716.127-81 | VALOR:R$ 1.696,60 | BANCO_ORIGEM:341 | BANCO_DESTINO:033 | DISPOSITIVO:POS_DIGITAL | LOCALIZACAO:Sao Luis-MA | DESCRICAO:Pagamento mensalidade | STATUS:CONCLUIDA
[2026-04-02 12:05:30] ID:TRX00207 | TIPO:TED | ORIGEM_NOME:Bruno Carvalho | ORIGEM_DOC:757.657.496-33 | DESTINO_NOME:Lucas Rodrigues | DESTINO_DOC:479.490.478-33 | VALOR:R$ 781,26 | BANCO_ORIGEM:323 | BANCO_DESTINO:336 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Recife-PE | DESCRICAO:Salario | STATUS:CONCLUIDA
[2026-04-02 19:43:00] ID:TRX00218 | TIPO:CARTAO_CREDITO_FISICO_MASTER | ORIGEM_NOME:Marcelo Vieira | ORIGEM_DOC:358.722.924-49 | DESTINO_NOME:Priscila Monteiro | DESTINO_DOC:829.826.758-45 | VALOR:R$ 2.280,12 | BANCO_ORIGEM:077 | BANCO_DESTINO:104 | DISPOSITIVO:POS_DIGITAL | LOCALIZACAO:Sao Paulo-SP | DESCRICAO:Farmacia | STATUS:CONCLUIDA
[2026-04-03 09:22:59] ID:TRX00257 | TIPO:CARTAO_CREDITO_DIGITAL_VISA | ORIGEM_NOME:Carlos Pereira | ORIGEM_DOC:883.548.490-60 | DESTINO_NOME:Ricardo Nunes | DESTINO_DOC:941.776.131-70 | VALOR:R$ 278,75 | BANCO_ORIGEM:077 | BANCO_DESTINO:260 | DISPOSITIVO:POS_DIGITAL | LOCALIZACAO:Belo Horizonte-MG | DESCRICAO:Pagamento conta agua | STATUS:CONCLUIDA
[2026-04-03 10:11:55] ID:TRX00309 | TIPO:PIX | ORIGEM_NOME:Servicos GAMA SA | ORIGEM_DOC:92.956.497/0001-94 | DESTINO_NOME:Carlos Pereira | DESTINO_DOC:601.638.738-99 | VALOR:R$ 517,17 | BANCO_ORIGEM:336 | BANCO_DESTINO:237 | DISPOSITIVO:APP_MOBILE | LOCALIZACAO:Rio de Janeiro-RJ | DESCRICAO:Pagamento academia | STATUS:CONCLUIDA
[2026-04-03 10:30:33] ID:TRX00050 | TIPO:CARTAO_CREDITO_FISICO_MASTER | ORIGEM_NOME:Larissa Cardoso | ORIGEM_DOC:581.456.518-52 | DESTINO_NOME:Sabrina Andrade | DESTINO_DOC:428.786.207-30 | VALOR:R$ 2.291,44 | BANCO_ORIGEM:104 | BANCO_DESTINO:380 | DISPOSITIVO:POS_FISICO | LOCALIZACAO:Natal-RN | DESCRICAO:Salario | STATUS:CONCLUIDA
